datetime,symbol,open,high,low,close,volume,bullish_fvg,bearish_fvg,buy_side_sweep,sell_side_sweep,bullish_mss,bearish_mss
2026-05-15 18:30:00,OANDA:XAUUSD,4551.825,4557.1,4551.035,4555.025,2315.0,False,False,False,False,False,False
2026-05-15 18:35:00,OANDA:XAUUSD,4555.025,4555.12,4551.24,4552.625,2443.0,False,False,False,False,False,False
2026-05-15 18:40:00,OANDA:XAUUSD,4552.525,4555.36,4549.595,4555.28,2991.0,False,False,False,True,True,False
2026-05-15 18:45:00,OANDA:XAUUSD,4555.27,4563.775,4554.46,4559.575,6361.0,True,False,True,False,True,False
2026-05-15 18:50:00,OANDA:XAUUSD,4559.78,4572.775,4557.61,4568.85,6495.0,True,False,True,False,True,False
2026-05-15 18:55:00,OANDA:XAUUSD,4568.785,4569.905,4564.1,4566.135,4746.0,False,False,False,False,False,False
2026-05-15 19:00:00,OANDA:XAUUSD,4566.12,4570.37,4562.17,4562.195,4016.0,False,False,False,False,False,True
2026-05-15 19:05:00,OANDA:XAUUSD,4562.15,4566.575,4561.095,4564.615,2879.0,False,False,False,False,False,False
2026-05-15 19:10:00,OANDA:XAUUSD,4564.585,4569.1,4563.765,4566.525,3291.0,False,False,False,False,False,False
2026-05-15 19:15:00,OANDA:XAUUSD,4566.53,4568.81,4563.58,4564.49,2574.0,False,False,False,False,False,False
2026-05-15 19:20:00,OANDA:XAUUSD,4564.52,4565.645,4563.175,4564.855,2411.0,False,False,False,False,False,False
2026-05-15 19:25:00,OANDA:XAUUSD,4564.68,4564.68,4559.165,4562.58,2732.0,False,True,False,True,False,True
2026-05-15 19:30:00,OANDA:XAUUSD,4562.555,4562.805,4558.725,4559.64,2082.0,False,False,False,True,False,False
2026-05-15 19:35:00,OANDA:XAUUSD,4559.63,4560.22,4553.96,4554.41,2569.0,False,True,False,True,False,True
2026-05-15 19:40:00,OANDA:XAUUSD,4554.41,4555.085,4551.035,4551.54,2457.0,False,False,False,True,False,True
2026-05-15 19:45:00,OANDA:XAUUSD,4551.51,4558.69,4551.3,4556.71,2906.0,False,False,False,False,True,False
2026-05-15 19:50:00,OANDA:XAUUSD,4556.7,4558.875,4553.82,4554.125,2360.0,False,False,False,False,False,False
2026-05-15 19:55:00,OANDA:XAUUSD,4554.115,4554.195,4550.005,4552.18,3197.0,False,True,False,True,False,True
2026-05-15 20:00:00,OANDA:XAUUSD,4552.19,4552.245,4546.565,4550.36,3446.0,False,False,False,True,False,False
2026-05-15 20:05:00,OANDA:XAUUSD,4550.345,4553.4,4548.965,4553.4,3403.0,False,False,False,False,True,False
2026-05-15 20:10:00,OANDA:XAUUSD,4553.495,4555.46,4545.345,4545.88,3644.0,False,False,False,True,False,True
